dates,values
1993-01-31,98.8927
1993-02-28,98.3232
1993-03-31,97.3254
1993-04-30,98.2619
1993-05-31,98.0587
1993-06-30,96.682
1993-07-31,94.0243
1993-08-31,93.7863
1993-09-30,96.7857
1993-10-31,96.5251
1993-11-30,94.7279
1993-12-31,94.551
1994-01-31,95.1582
1994-02-28,95.2814
1994-03-31,96.8101
1994-04-30,96.9856
1994-05-31,98.3177
1994-06-30,99.0208
1994-07-31,100.9734
1994-08-31,101.2013
1994-09-30,101.3931
1994-10-31,102.228
1994-11-30,101.3197
1994-12-31,100.3328
1995-01-31,101.7392
1995-02-28,102.6738
1995-03-31,104.3865
1995-04-30,104.7546
1995-05-31,104.3119
1995-06-30,104.8362
1995-07-31,106.2505
1995-08-31,105.2712
1995-09-30,104.8942
1995-10-31,106.279
1995-11-30,106.7865
1995-12-31,106.2048
1996-01-31,106.1401
1996-02-29,106.0328
1996-03-31,105.7517
1996-04-30,105.0286
1996-05-31,104.2102
1996-06-30,104.6129
1996-07-31,105.7797
1996-08-31,106.5673
1996-09-30,105.7972
1996-10-31,104.9649
1996-11-30,105.0746
1996-12-31,103.9429
1997-01-31,102.441
1997-02-28,100.642
1997-03-31,99.9525
1997-04-30,99.4522
1997-05-31,99.0799
1997-06-30,97.7476
1997-07-31,95.0328
1997-08-31,94.4018
1997-09-30,96.7237
1997-10-31,97.6182
1997-11-30,98.735
1997-12-31,98.6917
1998-01-31,97.9437
1998-02-28,97.3201
1998-03-31,96.4085
1998-04-30,96.9362
1998-05-31,99.3426
1998-06-30,99.2066
1998-07-31,98.8998
1998-08-31,100.1259
1998-09-30,102.8433
1998-10-31,104.4119
1998-11-30,102.6155
1998-12-31,102.7885
1999-01-31,101.8161
1999-02-28,100.0412
1999-03-31,98.5447
1999-04-30,97.3666
1999-05-31,96.8954
1999-06-30,95.0876
1999-07-31,95.1186
1999-08-31,95.9736
1999-09-30,94.6044
1999-10-31,95.648
1999-11-30,93.4127
1999-12-31,91.6411
2000-01-31,91.5854
2000-02-29,90.4232
2000-03-31,89.0433
2000-04-30,87.6633
2000-05-31,86.1004
2000-06-30,88.99
2000-07-31,88.391
2000-08-31,86.0916
2000-09-30,84.4337
2000-10-31,83.2468
2000-11-30,83.8144
2000-12-31,86.5459
2001-01-31,89.8595
2001-02-28,88.9828
2001-03-31,88.7424
2001-04-30,87.7738
2001-05-31,86.2157
2001-06-30,84.8328
2001-07-31,85.5475
2001-08-31,88.0941
2001-09-30,88.5267
2001-10-31,88.3112
2001-11-30,87.0407
2001-12-31,87.4944
2002-01-31,87.1616
2002-02-28,86.3793
2002-03-31,86.5045
2002-04-30,86.7836
2002-05-31,88.4453
2002-06-30,90.5657
2002-07-31,91.9544
2002-08-31,91.419
2002-09-30,91.4041
2002-10-31,91.6734
2002-11-30,92.5091
2002-12-31,93.5063
2003-01-31,95.8418
2003-02-28,97.1506
2003-03-31,97.9725
2003-04-30,98.5215
2003-05-31,102.2419
2003-06-30,102.6818
2003-07-31,101.5306
2003-08-31,100.4127
2003-09-30,100.3436
2003-10-31,102.0241
2003-11-30,102.0163
2003-12-31,104.8259
2004-01-31,106.0012
2004-02-29,105.8782
2004-03-31,104.0366
2004-04-30,102.3913
2004-05-31,102.9562
2004-06-30,102.813
2004-07-31,103.2397
2004-08-31,103.0456
2004-09-30,103.3956
2004-10-31,104.4724
2004-11-30,105.7506
2004-12-31,106.9551
2005-01-31,105.8575
2005-02-28,105.0411
2005-03-31,105.7329
2005-04-30,104.9156
2005-05-31,103.9807
2005-06-30,101.3273
2005-07-31,101.7909
2005-08-31,102.1641
2005-09-30,101.5924
2005-10-31,101.2418
2005-11-30,100.523
2005-12-31,100.5082
2006-01-31,101.2047
2006-02-28,100.4665
2006-03-31,101.2683
2006-04-30,102.3014
2006-05-31,103.2601
2006-06-30,103.4493
2006-07-31,103.7415
2006-08-31,103.7678
2006-09-30,103.6107
2006-10-31,103.0349
2006-11-30,103.5822
2006-12-31,104.5602
2007-01-31,103.939
2007-02-28,104.4065
2007-03-31,105.1101
2007-04-30,105.9847
2007-05-31,106.0003
2007-06-30,105.5846
2007-07-31,106.1351
2007-08-31,105.8506
2007-09-30,106.8395
2007-10-31,107.8392
2007-11-30,109.3214
2007-12-31,109.3602
2008-01-31,109.9239
2008-02-29,109.6032
2008-03-31,112.2234
2008-04-30,113.3018
2008-05-31,112.702
2008-06-30,112.4243
2008-07-31,112.5264
2008-08-31,110.3988
2008-09-30,108.8034
2008-10-31,105.543
2008-11-30,104.867
2008-12-31,110.1125
2009-01-31,109.9357
2009-02-28,108.8785
2009-03-31,111.1383
2009-04-30,110.2781
2009-05-31,110.845
2009-06-30,111.9202
2009-07-31,111.6135
2009-08-31,111.5757
2009-09-30,112.8529
2009-10-31,114.1366
2009-11-30,113.9573
2009-12-31,112.9039
2010-01-31,110.7638
2010-02-28,108.0234
2010-03-31,107.2826
2010-04-30,105.9597
2010-05-31,102.7141
2010-06-30,100.5765
2010-07-31,102.3985
2010-08-31,102.0829
2010-09-30,102.4028
2010-10-31,106.0081
2010-11-30,104.7324
2010-12-31,102.5174
2011-01-31,102.3176
2011-02-28,103.4067
2011-03-31,105.109
2011-04-30,106.8518
2011-05-31,105.8204
2011-06-30,105.8783
2011-07-31,104.9019
2011-08-31,104.6467
2011-09-30,103.6457
2011-10-31,103.8855
2011-11-30,103.4357
2011-12-31,101.634
2012-01-31,99.7709
2012-02-29,100.5028
2012-03-31,100.6399
2012-04-30,100.2358
2012-05-31,98.8017
2012-06-30,97.9354
2012-07-31,96.1131
2012-08-31,95.9961
2012-09-30,98.0113
2012-10-31,98.6123
2012-11-30,98.029
2012-12-31,99.4558
2013-01-31,101.0801
2013-02-28,102.2752
2013-03-31,100.782
2013-04-30,100.9162
2013-05-31,100.9795
2013-06-30,102.0697
2013-07-31,101.9984
2013-08-31,102.7252
2013-09-30,102.4761
2013-10-31,103.408
2013-11-30,103.0952
2013-12-31,104.2196
2014-01-31,103.7813
2014-02-28,103.9226
2014-03-31,104.9968
2014-04-30,104.8517
2014-05-31,104.1842
2014-06-30,103.3179
2014-07-31,102.8798
2014-08-31,102.1725
2014-09-30,100.5321
2014-10-31,99.7043
2014-11-30,99.4827
2014-12-31,99.4624
2015-01-31,95.5972
2015-02-28,93.6679
2015-03-31,90.976
2015-04-30,90.0946
2015-05-31,91.8363
2015-06-30,92.5544
2015-07-31,91.5778
2015-08-31,93.1847
2015-09-30,94.0571
2015-10-31,93.9204
2015-11-30,91.3613
2015-12-31,92.7299
2016-01-31,93.8661
2016-02-29,95.0624
2016-03-31,94.4664
2016-04-30,95.3164
2016-05-31,95.4737
2016-06-30,95.2053
2016-07-31,95.4939
2016-08-31,95.8941
2016-09-30,96.0256
2016-10-31,96.1983
2016-11-30,95.5033
2016-12-31,94.5412
2017-01-31,94.7693
2017-02-28,94.3087
2017-03-31,94.8626
2017-04-30,94.5954
2017-05-31,96.4237
2017-06-30,97.2528
2017-07-31,98.5646
2017-08-31,100.1056
2017-09-30,100.0934
2017-10-31,99.695
2017-11-30,99.6351
2017-12-31,99.9522
2018-01-31,100.6489
2018-02-28,100.8851
2018-03-31,101.0336
2018-04-30,100.7548
2018-05-31,99.35
2018-06-30,99.0864
2018-07-31,100.2146
2018-08-31,99.9182
2018-09-30,100.3589
2018-10-31,99.7365
2018-11-30,99.1852
2018-12-31,99.3151
2019-01-31,98.8103
2019-02-28,98.3886
2019-03-31,97.8525
2019-04-30,97.698
2019-05-31,98.2405
2019-06-30,98.771
2019-07-31,98.3932
2019-08-31,98.9495
2019-09-30,98.1641
2019-10-31,98.0759
2019-11-30,97.4738
2019-12-31,97.4243
2020-01-31,96.9898
2020-02-29,96.3241
2020-03-31,98.956
2020-04-30,98.1942
2020-05-31,98.3883
2020-06-30,99.7968
2020-07-31,100.5167
2020-08-31,101.6158
2020-09-30,101.6392
2020-10-31,101.3878
2020-11-30,100.6966
2020-12-31,101.9179
2021-01-31,101.4392
2021-02-28,100.7692
2021-03-31,100.4294
